price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
96.0;98.58;104.39;132.45;167.72;86.45;77.892083333332;63.61434523809511
65.68;93.83;98.58;104.39;132.45;86.68;78.44333333333199;63.70398809523797
51.39;89.5;93.83;98.58;104.39;77.75;78.96749999999865;63.84077380952368
39.98;85.43;89.5;93.83;98.58;70.4;79.41666666666532;63.982023809523675
34.14;82.23;85.43;89.5;93.83;65.11;79.51666666666533;64.10238095238081
32.91;89.69;82.23;85.43;89.5;65.62;79.53249999999866;64.25678571428558
35.18;113.55;89.69;82.23;85.43;65.9;79.597083333332;64.40315476190463
38.69;119.05;113.55;89.69;82.23;68.09;79.66999999999867;64.47791666666653
37.69;101.83;119.05;113.55;89.69;70.75;80.01916666666533;64.45244047619033
15.1;78.56;101.83;119.05;113.55;59.88;81.40708333333198;64.32541666666653
1.51;60.66;78.56;101.83;119.05;46.03;81.97458333333199;64.15220238095223
-2.2;41.39;60.66;78.56;101.83;40.85;83.08124999999866;63.92208333333319
-6.0;33.1;41.39;60.66;78.56;20.7;83.91916666666533;63.68392857142843
-13.88;25.36;33.1;41.39;60.66;7.44;84.44874999999865;63.43696428571415
-14.63;17.41;25.36;33.1;41.39;2.92;84.65124999999865;63.16124999999986
-13.5;14.59;17.41;25.36;33.1;5.8;84.71374999999865;62.85922619047605
-2.54;24.06;14.59;17.41;25.36;13.0;83.86791666666532;62.56630952380938
14.35;61.12;24.06;14.59;17.41;52.08;83.13416666666532;62.429523809523666
27.01;83.17;61.12;24.06;14.59;67.5;82.94249999999866;62.36232142857129
40.78;125.49;83.17;61.12;24.06;81.9;83.46666666666532;62.46678571428557
32.57;151.04;125.49;83.17;61.12;85.86;83.09166666666532;62.68130952380939
31.73;150.16;151.04;125.49;83.17;81.76;82.35999999999866;62.932797619047484
31.11;123.84;150.16;151.04;125.49;84.48;82.00124999999865;63.078928571428435
18.13;95.11;123.84;150.16;151.04;65.39;81.61458333333198;63.15601190476177
15.33;96.0;95.11;123.84;150.16;35.71;81.50708333333198;63.212857142857004
12.95;65.68;96.0;95.11;123.84;30.37;80.33416666666533;63.087857142857004
9.03;51.39;65.68;96.0;95.11;15.47;78.74624999999865;62.930952380952235
4.99;39.98;51.39;65.68;96.0;7.05;76.85249999999866;62.749880952380806
4.09;34.14;39.98;51.39;65.68;8.75;74.84874999999866;62.565535714285566
1.87;32.91;34.14;39.98;51.39;5.01;72.48291666666533;62.37083333333318
0.72;35.18;32.91;34.14;39.98;4.9;69.21749999999867;62.187976190476036
0.78;38.69;35.18;32.91;34.14;4.11;65.86916666666534;62.01297619047604
-0.13;37.69;38.69;35.18;32.91;0.97;63.196666666665344;61.81619047619033
-2.01;15.1;37.69;38.69;35.18;0.0;60.55249999999867;61.549642857142715
-7.6;1.51;15.1;37.69;38.69;1.56;58.087916666665336;61.284642857142714
-15.0;-2.2;1.51;15.1;37.69;0.77;56.27166666666533;61.028392857142705
-24.77;-6.0;-2.2;1.51;15.1;-0.1;54.64249999999867;60.86946428571413
-32.69;-13.88;-6.0;-2.2;1.51;-4.01;53.007499999998664;60.74255952380937
-37.13;-14.63;-13.88;-6.0;-2.2;-5.0;51.67249999999866;60.63809523809509
-28.68;-13.5;-14.63;-13.88;-6.0;-4.36;50.502083333331996;60.52321428571414
-4.99;-2.54;-13.5;-14.63;-13.88;-0.08;49.39374999999867;60.43071428571414
-0.59;14.35;-2.54;-13.5;-14.63;4.93;47.444999999998664;60.2061309523808
6.1;27.01;14.35;-2.54;-13.5;14.29;45.10499999999866;59.965119047618906
13.02;40.78;27.01;14.35;-2.54;65.61;41.575416666665326;59.720357142857004
16.03;32.57;40.78;27.01;14.35;94.99;36.63916666666533;59.40315476190462
17.45;31.73;32.57;40.78;27.01;106.93;31.704583333332;59.105357142856995
16.68;31.11;31.73;32.57;40.78;106.4;27.840833333332;58.78767857142843
15.82;18.13;31.11;31.73;32.57;93.55;24.633333333332;58.506369047618904
14.69;15.33;18.13;31.11;31.73;93.6;21.272083333332;58.38505952380939
12.81;12.95;15.33;18.13;31.11;82.55;19.074999999998663;58.28136904761891
11.86;9.03;12.95;15.33;18.13;80.2;17.309999999998663;58.24303571428558
12.03;4.99;9.03;12.95;15.33;64.47;15.852083333331997;58.23077380952368
15.29;4.09;4.99;9.03;12.95;59.98;14.599999999998664;58.20303571428559
27.68;1.87;4.09;4.99;9.03;93.86;13.30666666666533;58.18434523809511
39.59;0.72;1.87;4.09;4.99;130.08;11.870833333332;58.15946428571416
42.35;0.78;0.72;1.87;4.09;190.13;10.291249999998666;58.13964285714273
41.26;-0.13;0.78;0.72;1.87;160.54;8.715416666665332;58.13309523809512
38.81;-2.01;-0.13;0.78;0.72;125.01;8.002499999998667;58.12113095238084
35.26;-7.6;-2.01;-0.13;0.78;59.99;7.622916666665334;58.06660714285702
33.05;-15.0;-7.6;-2.01;-0.13;26.48;7.089583333332;57.97273809523798
